Size,Trees,Total,Small,Middle,Big,Mean,Percent
70,19,58,0,2,20,3.0526315789473684,2.8571428571428571
71,18,62,0,1,13,3.4444444444444444,1.4084507042253521
72,14,23,0,1,7,1.6428571428571429,1.3888888888888889
73,13,48,0,2,13,3.6923076923076923,2.7397260273972603
74,11,22,0,0,10,2.0000000000000000,0.00000000000000000000
75,18,59,0,0.5,16,3.2777777777777778,0.66666666666666666667
76,13,70,0,2,26,5.3846153846153846,2.6315789473684211
77,13,52,0,2,14,4.0000000000000000,2.5974025974025974
78,20,40,0,1,8,2.0000000000000000,1.2820512820512821
79,17,72,0,0,19,4.2352941176470588,0.00000000000000000000
80,21,74,0,1,14,3.5238095238095238,1.2500000000000000
81,15,72,0,4,14,4.8000000000000000,4.9382716049382716
82,14,36,0,1,9,2.5714285714285714,1.2195121951219512
83,17,49,0,2,10,2.8823529411764706,2.4096385542168675
84,11,37,0,2,8,3.3636363636363636,2.3809523809523810
85,14,95,0,2.5,25,6.7857142857142857,2.9411764705882353
86,7,25,0,2,11,3.5714285714285714,2.3255813953488372
87,14,62,0,0,22,4.4285714285714286,0.00000000000000000000
88,9,39,0,1,12,4.3333333333333333,1.1363636363636364
89,4,19,0,2,15,4.7500000000000000,2.2471910112359551
90,9,25,0,1,14,2.7777777777777778,1.1111111111111111
91,7,39,1,4,21,5.5714285714285714,4.3956043956043956
92,11,56,0,4,15,5.0909090909090909,4.3478260869565217
93,7,45,0,7,14,6.4285714285714286,7.5268817204301075
94,11,31,0,2,15,2.8181818181818182,2.1276595744680851
95,11,29,0,0,12,2.6363636363636364,0.00000000000000000000
96,12,43,0,2,13,3.5833333333333333,2.0833333333333333
97,11,34,0,2,21,3.0909090909090909,2.0618556701030928
98,4,16,0,0,16,4.0000000000000000,0.00000000000000000000
99,6,23,1,4.5,6,3.8333333333333333,4.5454545454545455
100,9,23,0,2,7,2.5555555555555556,2.0000000000000000
101,7,17,0,0,10,2.4285714285714286,0.00000000000000000000
102,8,7,0,0.5,3,0.87500000000000000000,0.49019607843137254902
103,5,29,0,5,14,5.8000000000000000,4.8543689320388350
104,9,67,0,5,30,7.4444444444444444,4.8076923076923077
105,8,35,0,3,11,4.3750000000000000,2.8571428571428571
106,9,39,0,3,13,4.3333333333333333,2.8301886792452830
107,10,48,0,1,21,4.8000000000000000,0.93457943925233644860
108,6,21,0,1,10,3.5000000000000000,0.92592592592592592593
109,7,17,0,1,8,2.4285714285714286,0.91743119266055045872
110,3,12,0,5,7,4.0000000000000000,4.5454545454545455
111,8,36,0,2.5,14,4.5000000000000000,2.2522522522522523
112,5,18,0,2,13,3.6000000000000000,1.7857142857142857
113,8,38,0,5.5,10,4.7500000000000000,4.8672566371681416
114,9,130,0,16,34,14.4444444444444444,14.0350877192982456
115,4,23,0,3,17,5.7500000000000000,2.6086956521739130
117,5,9,0,2,4,1.8000000000000000,1.7094017094017094
118,7,27,0,0,15,3.8571428571428571,0.00000000000000000000
119,9,40,0,5,9,4.4444444444444444,4.2016806722689076
120,10,67,0,0.5,32,6.7000000000000000,0.41666666666666666667
121,8,40,0,3.5,13,5.0000000000000000,2.8925619834710744
122,8,32,0,0,23,4.0000000000000000,0.00000000000000000000
123,6,36,0,3.5,22,6.0000000000000000,2.8455284552845528
124,3,3,0,0,3,1.00000000000000000000,0.00000000000000000000
125,5,9,0,1,4,1.8000000000000000,0.80000000000000000000
127,6,34,0,2.5,15,5.6666666666666667,1.9685039370078740
130,4,44,0,10,24,11.0000000000000000,7.6923076923076923
131,3,1,0,0,1,0.33333333333333333333,0.00000000000000000000
132,8,33,0,1.5,19,4.1250000000000000,1.1363636363636364
133,4,13,1,2.5,7,3.2500000000000000,1.8796992481203008
136,4,22,0,4.5,13,5.5000000000000000,3.3088235294117647
