2008,1
1593,2
1230,3
1016,4
877,5
683,6
624,7
534,8
421,9
403,10
357,11
297,12
259,13
239,14
206,15
212,16
181,17
166,18
156,19
134,20
126,21
100,22
108,23
96,24
108,25
82,26
89,27
87,28
65,29
69,30
69,31
72,32
55,33
59,34
69,35
68,36
57,37
54,38
45,39
54,40
40,41
38,42
41,43
50,44
57,45
51,46
37,47
36,48
49,49
44,50
24,51
31,52
29,53
35,54
27,55
25,56
27,57
23,58
27,59
25,60
17,61
21,62
16,63
28,64
20,65
18,66
25,67
20,68
18,69
19,70
18,71
14,72
13,73
11,74
18,75
13,76
13,77
20,78
17,79
21,80
15,81
14,82
17,83
11,84
14,85
7,86
14,87
9,88
4,89
9,90
7,91
11,92
7,93
11,94
11,95
12,96
11,97
4,98
6,99
9,100
7,101
8,102
5,103
9,104
8,105
9,106
10,107
6,108
7,109
3,110
8,111
5,112
8,113
9,114
4,115
2,116
5,117
7,118
9,119
10,120
8,121
8,122
6,123
3,124
5,125
2,126
6,127
2,128
2,129
4,130
3,131
8,132
4,133
2,134
2,135
4,136
4,137
8,138
5,139
4,140
5,141
8,142
4,143
2,144
9,145
2,146
7,147
4,148
6,149
4,150
3,151
6,152
1,153
5,154
2,155
3,156
2,157
4,158
3,159
5,160
2,161
3,163
1,164
2,165
2,166
2,167
1,168
2,169
1,170
3,171
1,172
3,173
2,174
2,175
5,176
1,177
2,178
4,179
5,180
3,181
5,182
2,183
3,184
1,186
1,187
1,188
3,190
3,191
3,192
3,193
3,196
2,197
2,198
1,199
2,200
2,202
2,203
1,204
4,205
1,206
2,207
2,209
5,210
1,211
2,212
3,213
2,214
2,215
1,216
3,217
1,218
1,219
1,220
4,222
3,223
2,224
3,225
2,226
2,228
1,229
2,230
2,231
1,233
2,235
3,237
2,240
4,243
2,244
1,245
1,246
1,247
1,248
3,249
3,250
1,254
2,255
1,257
2,258
1,260
1,261
2,262
1,264
1,266
1,269
1,271
1,274
2,275
3,276
1,277
1,278
1,279
1,280
3,281
1,282
1,285
2,286
1,289
3,290
2,291
1,293
1,295
2,299
3,300
1,303
2,305
1,310
1,311
1,313
1,314
1,315
1,319
2,321
1,327
1,332
1,333
3,336
1,339
1,342
2,345
1,348
1,349
1,351
2,353
1,359
2,362
1,364
1,366
1,370
1,372
1,377
1,381
1,384
1,397
2,402
1,410
2,414
1,416
1,419
1,423
1,424
1,425
1,427
1,430
1,433
1,436
1,438
1,440
1,442
1,444
1,445
1,447
2,448
1,452
2,459
1,462
1,467
1,468
1,469
1,470
1,486
1,487
1,492
1,495
1,500
1,505
1,509
2,516
1,518
2,526
1,527
1,528
1,533
1,534
1,537
2,576
1,577
1,578
1,581
1,583
1,596
1,599
1,601
1,604
1,612
1,613
1,618
1,624
1,641
1,650
1,658
2,697
1,707
1,714
1,722
1,743
1,755
1,782
1,810
1,813
1,831
1,838
1,849
1,867
1,868
1,869
1,874
1,886
1,890
2,947
1,964
1,974
1,1054
1,1063
1,1091
1,1103
1,1107
1,1112
1,1118
1,1265
1,1270
1,1276
1,1283
1,1307
1,1335
1,1376
1,1383
1,1387
1,1455
1,1470
1,1473
1,1478
1,1493
1,1529
1,1558
1,1621
1,1646
1,1661
1,1666
1,1711
1,1721
1,1743
1,1778
1,1786
1,1798
1,1812
1,1842
1,1902
1,1953
1,2008
1,2100
1,2201
1,2208
1,2349
1,4708
1,7217
